U,V
4148,6377
4198,6406
4237,6406
4266,6421
4284,6406
4292,6435
4291,6421
4281,6406
4263,6421
4238,6391
4208,6435
4174,6450
4137,6435
4098,6391
4060,6435
4024,6406
3991,6406
3962,6435
3939,6450
3922,6391
3913,6406
3912,6421
3920,6406
3937,6391
3963,6391
3997,6406
4040,6406
4090,6391
4148,5045
4211,6406
4278,6406
4349,6406
4422,6406
4496,6406
4569,6406
4639,6391
4705,6406
4766,6406
4821,6406
4868,6391
4907,6406
4936,6406
4955,6391
4964,6392
4962,6406
4950,6391
4929,6391
4897,6392
4857,6406
4809,6391
4754,6391
4694,6406
4630,6406
4563,6377
4494,6391
4427,6391
4361,6406
4298,6391
4241,6391
4189,6391
4145,6341
4109,6362
4081,6377
4063,6392
4056,6406
4058,6362
4069,6362
4091,6392
4121,6406
4159,6377
4204,6391
4255,5043
4311,6377
4370,6377
4430,6392
4491,6377
4550,6391
4605,6391
4656,6392
4701,6377
4738,6377
4767,6377
4786,6392
4794,6377
4792,6377
4778,6391
4753,6392
4716,6406
4669,6362
4611,6391
4544,6392
4469,6377
4386,6391
4298,6377
4205,6406
4110,6406
4014,6377
3919,6377
3827,6392
3739,6362
3657,6249
3581,6074
3515,5896
3458,5716
3412,5514
3377,5357
3354,5189
3344,5058
3345,4986
3358,4925
3382,4899
3417,4916
3462,4960
3515,5058
3576,5198
3642,5336
3713,5450
3786,4520
3860,5846
3934,6074
4005,6236
4073,6319
4135,6377
4191,6362
4239,6377
4279,6392
4309,6391
4330,6362
4340,6377
4340,6392
4330,6391
4310,6377
4281,6377
4245,6392
4201,6377
4151,6362
4096,6362
4038,6392
3978,6406
3918,6362
3859,6377
3803,6348
3750,6305
3703,6208
3662,6136
3629,5996
3604,5921
3588,5810
3581,5704
3584,5635
3595,5591
3616,5569
3646,5569
3683,5658
3728,5692
3778,5822
3833,5908
3892,6061
3952,6180
4013,6291
4073,6348
4131,6348
4185,6377
4234,6391
4277,6362
4312,6391
4338,6392
4356,6362
4364,6348
4363,6348
4351,6362
4330,6362
4299,6362
4260,6348
4212,6392
4158,6377
4098,6362
4033,6362
3965,6392
3895,6377
3826,6362
3757,6348
3692,6277
3631,6100
3576,5971
3527,5786
3487,5681
3456,5493
3434,5398
3422,5286
3421,5217
3430,5160
3449,5141
3477,5141
3515,5179
3561,5246
3614,5346
3673,5461
3736,5602
3802,5751
3870,5908
3937,6100
4003,6236
4065,6291
4122,6319
4173,6362
4217,6362
4251,6348
4276,6377
4291,6362
4294,6362
4287,6377
4268,6391
4238,6392
4198,6406
4148,6348
4089,6348
4022,6392
3948,6362
3870,6377
3788,6362
3704,6305
3620,6136
3537,5996
3458,5810
3384,5633
3315,5367
3255,5160
3204,4951
3162,4774
3132,4610
3113,4457
3106,4483
3111,4274
3128,4323
3156,4191
3196,4278
3246,4235
3305,4403
3372,4436
3445,4626
3524,4735
3606,5013
3691,5218
3775,5492
3858,5670
3939,5946
4014,6113
4084,6249
4147,6334
4201,6334
4246,6348
4282,6377
4307,6362
4321,6377
4326,6348
4319,6362
4304,6377
4279,6362
4246,6348
4205,6362
4159,6362
4108,6391
4054,6348
3999,6392
3943,6362
3888,6377
3836,6391
3789,6348
3746,6305
3710,6208
3681,6113
3660,6009
3648,5908
3644,5835
3650,5798
3665,5775
3688,5775
3718,5798
3757,5834
3801,5908
3850,5996
3904,6114
3959,6222
4016,6319
4073,6348
4127,6362
4179,6348
4225,6362
4266,6362
4299,6442
4324,6348
4341,6348
4347,6362
4344,6406
4330,6391
4306,6348
4272,6362
4228,6362
4175,6348
4114,6363
4046,6362
3973,6362
3895,6363
3814,6348
3731,6348
3648,6236
3567,6113
3489,5883
3416,5681
3348,5493
3287,5237
3234,5031
3191,4857
3156,4687
3132,4694
3117,4443
3113,4333
3118,4365
3133,4216
3156,4285
3186,4191
3223,4309
3266,4286
3312,4481
3360,4485
3409,4633
3457,4782
3503,4934
3544,5076
3580,5217
3609,5377
3630,5482
3642,5569
3644,5613
3635,5692
3615,5704
3584,5716
3541,5670
3488,5602
3424,5503
3351,5367
3270,5237
3181,5049
3086,4874
2986,4679
2884,4471
2780,4413
2677,4111
2576,4051
2479,3879
2388,3694
2304,3525
2227,3332
2161,3213
2105,3021
2061,2907
2028,2772
2008,2649
2000,2532
2004,2417
2019,2312
2046,2206
2084,2176
2130,2077
2184,1960
2245,1936
2310,1865
2379,1838
2450,1812
2521,1820
2591,1878
2657,1927
2719,2057
2775,2216
2824,2413
2865,2612
2897,2887
2919,3049
2932,3236
2934,3384
2927,3461
2910,3548
2884,3579
2850,3584
2808,3589
2760,3571
2708,3526
2652,3469
2593,3435
2534,3359
2477,3254
2421,3186
2369,3069
2322,2993
2282,2854
2249,2769
2224,2677
2208,2588
2201,2496
2204,2406
2217,2321
2239,2236
2270,2222
2309,2153
2356,2074
2409,2077
2468,2054
2531,2041
2596,2085
2663,2140
2730,2237
2794,2345
2856,2504
2913,2785
2965,2982
3009,3243
3046,3472
3074,3667
3093,3822
3102,3939
3101,4037
3091,4040
3072,4157
3044,4157
3008,4052
2964,4129
2915,4056
2861,3987
2803,3821
2743,3809
2683,3729
2625,3618
2568,3557
2516,3445
2469,3319
2429,3238
2397,3124
2374,3028
2360,2908
2356,2827
2363,2755
2380,2674
2408,2612
2445,2528
2492,2487
2548,2467
2611,2469
2681,2496
2756,2543
2834,2622
2914,2737
2995,2973
3075,3173
3152,3472
3225,3755
3292,4024
3352,4328
3404,4507
3446,4742
3478,4925
3500,5076
3511,5198
3510,5286
3499,5356
3477,5366
3445,5356
3404,5316
3355,5227
3299,5160
3237,5022
3172,4891
3104,4718
3036,4566
2968,4558
2904,4280
2844,4260
2789,3995
2742,3965
2704,3856
2676,3738
2658,3627
2652,3514
2658,3448
2676,3370
2705,3295
2747,3260
2800,3234
2864,3229
2937,3252
3018,3324
3107,3464
3202,3681
3300,3912
3401,4174
3503,4530
3604,4776
3703,5086
3798,5461
3887,5739
3970,6035
4044,6222
4110,6334
4166,6391
4213,6406
4248,6391
4273,6391
4288,6435
4293,6406
4289,6406
4276,6406
4255,6406
4228,6435
4197,6421
4161,6406
4123,6450
4085,6391
4047,6406
4012,6421
3980,6392
3953,6421
3932,6406
3918,6421
3912,6391
3914,6391
3925,6406
3945,6406
3974,6391
4011,6406
4057,6406
4109,6391
4169,6391
4234,6392
4303,6391
4374,6391
4448,6391
4521,6392
4593,6406
4662,6391
4727,6391
4786,6392
4838,6421
4882,6391
4918,5043
4943,6391
4959,6406
4965,6391
4959,6406
4944,6406
4919,6377
4884,6377
4841,6391
4791,6392
4734,6362
4672,6377
4607,6392
4539,6406
4471,6377
4404,6377
4339,6406
4278,6406
4222,6377
4173,6377
4131,6391
4098,6392
4074,6391
4060,6362
4055,6391
4060,6406
4076,6377
4100,6362
4133,6391
4174,6377
4221,6362
4274,6377
4331,6391
4391,6443
4451,6362
4511,6377
4569,6392
4623,6377
4672,6362
4715,6362
4749,6392
4775,6377
4790,6348
4795,6391
4788,6377
4771,6377
4742,6362
4701,6348
4650,6392
4589,6345
4519,6348
4441,6348
4356,6392
4266,6342
4173,6348
4077,6348
3982,6391
3887,6391
3796,6348
3710,6334
3630,6208
3557,6022
3494,5823
3441,5634
3399,5439
3368,5296
3349,5132
3343,5013
3348,4951
3365,4908
3393,4899
3432,4916
3480,4977
3536,5076
3598,5208
3666,5366
3738,5503
3812,5704
3886,5871
3959,6087
4029,6236
4095,6319
4155,6362
4209,6362
